mr,ref,alignment
"inform(name[Hitman 2], exp_release_date[November 13, 2018], genres[shooter, tactical], player_perspective[third person], platforms[PlayStation, Xbox, PC])","I'm excited about the release of Hitman 2 on November 13, 2018. What's not to love about sneaking around in third person, shooting enemies, while tactically completing your objective? I prefer Xbox, but PC and PlayStation will do just fine too.",(0: da) (34: name) (46: expreleasedate) (111: playerperspective) (126: genres) (195: platforms)
"inform(name[Hitman 2], exp_release_date[November 13, 2018], genres[shooter, tactical], player_perspective[third person], platforms[PlayStation, Xbox, PC])","Hitman 2 is coming out on November 13, 2018 for PlayStation, Xbox, and PC. It's going to be a third person shooter with a ton of tactical elements that will make you slow down and think about how to get through a level.",(0: da) (0: name) (26: expreleasedate) (49: platforms) (99: playerperspective) (112: genres)
"inform(name[Hitman 2], exp_release_date[November 13, 2018], genres[shooter, tactical], player_perspective[third person], platforms[PlayStation, Xbox, PC])","If you like tactical shooter games, Hitman 2 is being released on November 13, 2018. It's a third person shooter and will be available for PlayStation, Xbox, and PC.",(0: da) (12: genres) (37: name) (67: expreleasedate) (95: playerperspective) (142: platforms)
"verify_attribute(name[Small World 2], developer[Days of Wonder], rating[poor])","Do you think your disappointment with Small World 2, that you mentioned earlier, was caused by the general incompetence of the developer Days of Wonder?",(0: da) (18: rating) (38: name) (139: developer)
"verify_attribute(name[Small World 2], developer[Days of Wonder], rating[poor])",I remember you telling me that you didn't like Small World 2. Would you say you're overall not a fan of games by Days of Wonder?,(0: da) (48: name) (115: developer)
"verify_attribute(name[Small World 2], developer[Days of Wonder], rating[poor])",You mentioned how much you dislike Small World 2. Does Days of Wonder often mess up games in your experience?,(0: da) (27: rating) (35: name) (55: developer)
"give_opinion(name[Payday 2], esrb[M (for Mature)], rating[average], player_perspective[first person])","Payday 2 was OK, nothing standing out from among all the M rated first person games though.",(0: da) (0: name) (13: rating) (58: esrb) (66: playerperspective)
"give_opinion(name[Payday 2], esrb[M (for Mature)], rating[average], player_perspective[first person])","Payday 2 is kind of fun, but fails to be anything special. I like first person games usually, but the M rating means the content is just a bit too much for my tastes.",(0: da) (0: name) (12: rating) (68: playerperspective) (105: esrb)
"give_opinion(name[Payday 2], esrb[M (for Mature)], rating[average], player_perspective[first person])","Payday 2 isn't a bad game, but doesn't do anything to draw attention to it. It's like so many M rated first person games, and seems to feel like those facts alone are enough to make you want to play it.",(0: da) (0: name) (96: esrb) (107: playerperspective)
"inform(name[NHL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view])",NHL 15 is an average sport simulation game from 2014. The game is played from a bird view perspective.,(0: da) (0: name) (13: rating) (21: genres) (48: releaseyear) (79: playerperspective)
"inform(name[NHL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view])",NHL 15 is a bird view sport simulation game. It came out in 2014 and has average ratings.,(0: da) (0: name) (12: playerperspective) (22: genres) (61: releaseyear) (74: rating)
"inform(name[NHL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view])",NHL 15 is an average sport simulator with a bird view perspective. It was released in 2014.,(0: da) (0: name) (13: rating) (21: genres) (44: playerperspective) (87: releaseyear)
"recommend(name[Super Bomberman], genres[action, strategy], player_perspective[bird view])","You mentioned action strategy games that are played from a bird view perspective. Well Super Bomberman is a game like that, did you ever play it?",(0: da) (14: genres) (59: playerperspective) (88: name)
"recommend(name[Super Bomberman], genres[action, strategy], player_perspective[bird view])","I know you like bird view action strategy games, just like me. I thought Super Bomberman was pretty good, have you heard of it?",(0: da) (16: playerperspective) (26: genres) (75: name)
"recommend(name[Super Bomberman], genres[action, strategy], player_perspective[bird view])","Speaking of action strategy games played from a bird view perspective, have you ever played Super Bomberman?",(0: da) (12: genres) (48: playerperspective) (93: name)
"inform(name[World of Warcraft], release_year[2004], developer[Blizzard Entertainment], rating[good], genres[adventure, MMORPG], player_perspective[third person])",World of Warcraft is a good adventure MMORPG game that is third person. Blizzard Entertainment released this game in 2004.,(0: da) (0: name) (23: rating) (28: genres) (58: playerperspective) (73: developer) (118: releaseyear)
"inform(name[World of Warcraft], release_year[2004], developer[Blizzard Entertainment], rating[good], genres[adventure, MMORPG], player_perspective[third person])","World of Warcraft is a good adventure MMORPG, which you play from the third person perspective. It was made by Blizzard Entertainment in 2004.",(0: da) (0: name) (23: rating) (28: genres) (71: playerperspective) (113: developer) (139: releaseyear)
"inform(name[World of Warcraft], release_year[2004], developer[Blizzard Entertainment], rating[good], genres[adventure, MMORPG], player_perspective[third person])",World of Warcraft is a good third person adventure MMORPG. It was released in 2004 and developed by Blizzard Entertainment.,(0: da) (0: name) (23: rating) (28: playerperspective) (41: genres) (79: releaseyear) (101: developer)
"inform(name[TrackMania Turbo], release_year[2016], rating[good], genres[arcade, driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Try out TrackMania Turbo, an arcade driving/racing game with good ratings. It was released in 2016 and is available on PlayStation, Xbox, and PC. It is available on Steam.",(0: da) (8: name) (30: genres) (61: rating) (96: releaseyear) (121: platforms) (165: availableonsteam)
"inform(name[TrackMania Turbo], release_year[2016], rating[good], genres[arcade, driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","TrackMania Turbo is a 2016 arcade racing game. It is rated good and is available on PlayStation, Xbox, and PC and is also available on Steam.",(0: da) (0: name) (22: releaseyear) (27: genres) (59: rating) (85: platforms) (135: availableonsteam)
"inform(name[TrackMania Turbo], release_year[2016], rating[good], genres[arcade, driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","TrackMania Turbo was released in 2016 for PlayStation, Xbox, and PC to good reviews. This arcade style racing game is also available on Steam.",(0: da) (0: name) (33: releaseyear) (42: platforms) (71: rating) (93: genres) (136: availableonsteam)
"inform(name[Metro 2033], rating[good], genres[action, role-playing, shooter], player_perspective[first person], has_multiplayer[no])",Metro 2033 is a single-player first person shooter released to positive critical reception. The game combines action and role-playing.,(0: da) (0: name) (16: hasmultiplayer) (30: playerperspective) (43: genres) (63: rating)
"inform(name[Metro 2033], rating[good], genres[action, role-playing, shooter], player_perspective[first person], has_multiplayer[no])","I would love to introduce you to Metro 2033 when we get home, since I know you are a stickler for exact information, I'll tell you that it's not multiplayer, so we can take turns, it's in first person perspective, and it's an action role-playing shooter. I'll even tell you that it has a good rating.",(0: da) (33: name) (147: hasmultiplayer) (195: playerperspective) (235: genres) (293: rating)
"inform(name[Metro 2033], rating[good], genres[action, role-playing, shooter], player_perspective[first person], has_multiplayer[no])","I've heard about Metro 2033 recently, an action first person shooter with good ratings, where you get to role-play too. It's single-player, which is no problem for me.",(0: da) (18: name) (43: genres) (50: playerperspective) (75: rating) (128: hasmultiplayer)
"inform(name[NBA 2K16], rating[good], genres[sport], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","NBA 2K16 is a third person sports game with good ratings. It is available on Steam. It runs on PlayStation, Xbox, and PC, but it is not supported by Mac or Linux.",(0: da) (0: name) (14: playerperspective) (27: genres) (44: rating) (77: availableonsteam) (97: platforms) (149: hasmacrelease) (156: haslinuxrelease)
"inform(name[NBA 2K16], rating[good], genres[sport], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","NBA 2K16 is a good game available on PlayStation, Xbox, and on Steam for PC. It's your typical third person sports game. Unfortunately, it's not available on Mac or Linux.",(0: da) (0: name) (14: rating) (37: platforms) (63: availableonsteam) (99: playerperspective) (112: genres) (160: hasmacrelease) (167: haslinuxrelease)
"inform(name[NBA 2K16], rating[good], genres[sport], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","NBA 2K16 is a good third person sports game. It can be played on PlayStation, Xbox, PC and Steam. It isn't available on Linux or Mac.",(0: da) (0: name) (14: rating) (19: playerperspective) (32: genres) (66: platforms) (91: availableonsteam) (121: haslinuxrelease) (130: hasmacrelease)
"suggest(name[Resident Evil 4], genres[action-adventure, shooter])","Hey, do you like action-adventure shooter games like Resident Evil 4?",(0: da) (18: genres) (54: name)
"suggest(name[Resident Evil 4], genres[action-adventure, shooter])",Are you into action-adventure shooters like Resident Evil 4?,(0: da) (13: genres) (44: name)
"suggest(name[Resident Evil 4], genres[action-adventure, shooter])","So, do you ever play action-adventure shooters, like for example Resident Evil 4?",(0: da) (22: genres) (67: name)
"inform(name[Rise of the Tomb Raider], genres[action-adventure, shooter], player_perspective[first person, third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Rise of the Tomb Raider is a first and third person action-adventure shooter game. It is playable on PlayStation, Xbox and PC and is also available for download on Steam.",(0: da) (0: name) (29: playerperspective) (52: genres) (102: platforms) (164: availableonsteam)
